filename,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,label
housing_prices,0,0.9994542163228783,1,1,0.30027015916571415,0.008866782,0.9258514877322932,0.9158667447962068,0.9175705867981082,0.009872361
housing_prices,0,0.9911350387010225,1,1,0.5321470411248431,0.17292074333979954,0.9324926912363529,0.898860459,0.8890515714000005,0.016195386
Indias_population,1,-1,1,0.9999999999977722,-1,1,0,0,0.9926346372884732,0
Indias_population,1,-1,0.999999996,0.9999999999977723,-1,0.21070542934733236,0,0,-0.894923187,0
Indias_population,1,-1,0.41763986466277414,0.9999999999971797,-1,0.09091821,0,0,-0.118169922,0
Indias_population,1,0.7441110590709428,0.9999971497854984,0.9999999999977827,2.8427542652575077,0.020548478,0,0,-0.798959332,0
Indias_population,1,0.7441110590709428,0.9999999994248546,0.9999999999977723,2.889242505114635,0.18818407244046007,0,0,0.9117719182649224,0
Indias_population,1,0.7092735549232205,0.9999999999999999,0.9999999999977723,2.3216853783068356,0.012368104591740647,0,0,-0.979181976,0
Indias_population,1,-1,1,0.9999999999977722,-1,0.072118572,0,0,0.9999980575544165,0
Indias_population,1,-1,0.9999999999926654,0.9999999999977723,-1,0.5124550812517487,0,0,0.9414061524496715,0
Indias_population,1,-1,0.9999999999989904,0.9999999948627356,-1,0.10089670714962963,0,0,0.9512772924755747,0
Indias_population,1,-1,0.9999999936033777,0.9999999999977723,-1,0.078037973,0,0,0.8890820557506283,0
Indias_population,0,0.7634781694554338,0,nan,3.1780538303479453,0,0,0,nan,0
Indias_population,1,0.5961915555401911,0.9982585407761851,0.9999999999977723,0.5117400734174097,0.014979912768640217,0,0,-0.604855484,0
forest_fires,1,0.7697104529893857,0.8499035113765452,0.9963382919345155,1.0571453826622759,0.890931893,0.8807801921921532,0.6565427999330857,0.063385299,-1.16E+13
forest_fires,1,0.9999521857440263,0.691490409,0.9976141533318437,0.7425379157661746,0.1242783183278254,0.8771784515357534,0.5417175093781788,0.044873225,-5.56E+13
forest_fires,0,1.0266810734904652e-09,0.7865887480820783,0.9260406900299598,0.8280329792891585,0.6002257747292047,0.7526110939327025,0.3521530326669729,0.054813141,18906361740417.867
forest_fires,0,0.5625126136294658,0.665416735,0.9445557870695538,0.9636988579927508,0.02740538,0.759800975,0.2885676153847237,0.042521001,1.62011E+12
forest_fires,1,-1,0.6374083900467381,1,-1,0.01947971,0.8360001684414539,0.4496452803048363,0.040122004,106537067109157.33
forest_fires,1,-1,0.9026648656342774,1,-1,0.9683925361027467,0.9225717694616064,0.8611137515964434,0.072994296,154209021267205.88
forest_fires,1,-1,0.7376371176362165,1,-1,0.42617128291967726,0.900971738,0.7045708850282131,0.049383225298916256,60246031052010.664
forest_fires,1,-1,0.14858163762664733,0.8265319239742176,-1,0.6005673121599443,0.8424803661512561,0.7296303323660236,0.008257688,182008330207681.6
forest_fires,1,-1,0.9738985394201142,0.9679257474007296,-1,1,1,1,0.097844107,348071368221576.8
forest_fires,1,-1,0.9137294484614188,1,-1,0.756727879,0.9649766290396353,0.8946912927530761,-0.075518563,-1.54E+14
forest_fires,1,-1,0.22006092963843427,0.9982882922518049,-1,0.5396891813407906,0.9216018033450307,0.8305902444913936,0.012317276888673123,5.75918E+13
